-476.0879,-282.1456
-399.8165,-157.6962
-289.636,-298.649
-468.8194,-230.6134
557.1254,-82.2452
-538.8783,-319.235
-337.523,-289.4089
625.2069,-72.5539
-360.9948,-253.7421
637.9682,-76.4373
387.2566,-86.1372
672.6033,-64.3749
566.957,-74.2803
518.1383,-76.7226
531.9216,-61.2284
-345.8851,-196.4574
742.1247,-75.426
663.2666,-34.3536
733.9982,-115.4937
-463.3283,-174.4892
-534.1674,-136.1807
538.0452,-26.728
-502.0624,-213.2134
474.3095,-34.9521
539.385,-65.0117
-532.2363,-237.4086
492.3261,-92.9465
563.0374,-90.8016
582.8581,-70.1492
502.4659,-81.5289
549.2576,-26.0971
570.2448,-92.228
540.9995,-40.0265
635.3212,-59.9373
-489.51,-206.8131
613.4315,-89.9993
-315.8857,-175.8699
721.5498,-82.6661
526.493,-96.5024
-387.9961,-348.6136
-494.6046,-170.8055
614.8082,-93.7658
424.5009,-68.3407
419.7736,-68.2761
491.3015,-97.1882
410.0214,-78.465
-387.9929,-251.2093
-418.9312,-330.5224
661.0106,-75.9217
600.4693,-49.6962
